user_id,login_time,login_hour,ip_score,label
u0049,09:47 AM,9,0.14,normal
u0381,18:45 PM,18,0.16,normal
u0417,14:38 PM,14,0.27,normal
u0351,04:49 AM,4,0.7,anomaly
u0153,00:23 AM,0,0.73,anomaly
u0047,10:52 AM,10,0.22,normal
u0294,12:18 PM,12,0.17,normal
u0211,19:13 PM,19,0.69,anomaly
u0374,10:48 AM,10,0.15,normal
u0067,10:17 AM,10,0.0,normal
u0121,01:32 AM,1,0.86,anomaly
u0410,13:39 PM,13,0.24,normal
u0060,03:32 AM,3,0.81,anomaly
u0490,08:54 AM,8,0.23,normal
u0078,15:39 PM,15,0.16,normal
u0304,03:32 AM,3,0.91,anomaly
u0386,14:56 PM,14,0.3,normal
u0400,13:45 PM,13,0.21,normal
u0384,16:40 PM,16,0.38,normal
u0317,19:52 PM,19,1.0,anomaly
u0371,16:02 PM,16,0.05,normal
u0409,03:05 AM,3,0.89,anomaly
u0137,03:28 AM,3,0.76,anomaly
u0427,17:21 PM,17,0.33,normal
u0488,17:29 PM,17,0.24,normal
u0485,13:02 PM,13,0.08,normal
u0034,10:21 AM,10,0.18,normal
u0005,23:03 PM,23,0.91,anomaly
u0092,17:18 PM,17,0.04,normal
u0275,02:18 AM,2,0.86,anomaly
u0232,11:32 AM,11,0.24,normal
u0129,02:05 AM,2,0.75,anomaly
u0478,10:27 AM,10,0.3,normal
u0248,23:54 PM,23,0.82,anomaly
u0003,02:27 AM,2,0.9,anomaly
u0159,09:43 AM,9,0.14,normal
u0166,09:10 AM,9,0.19,normal
u0212,14:22 PM,14,0.0,normal
u0011,19:56 PM,19,0.87,anomaly
u0356,01:14 AM,1,0.91,anomaly
u0234,01:44 AM,1,0.74,anomaly
u0102,21:05 PM,21,0.78,anomaly
u0342,20:53 PM,20,0.74,anomaly
u0181,16:53 PM,16,0.05,normal
u0366,21:35 PM,21,0.74,anomaly
u0479,11:42 AM,11,0.03,normal
u0478,07:49 AM,7,0.81,anomaly
u0418,23:24 PM,23,0.74,anomaly
u0417,05:55 AM,5,0.62,anomaly
u0391,08:36 AM,8,0.13,normal
u0433,02:52 AM,2,0.81,anomaly
u0336,17:18 PM,17,0.24,normal
u0090,01:22 AM,1,0.89,anomaly
u0004,16:25 PM,16,0.31,normal
u0438,11:13 AM,11,0.11,normal
u0094,11:00 AM,11,0.25,normal
u0347,09:12 AM,9,0.32,normal
u0447,17:31 PM,17,0.22,normal
u0039,19:45 PM,19,0.88,anomaly
u0432,23:01 PM,23,0.88,anomaly
u0231,05:10 AM,5,0.54,anomaly
u0296,15:43 PM,15,0.3,normal
u0105,10:48 AM,10,0.15,normal
u0356,07:30 AM,7,0.75,anomaly
u0465,02:45 AM,2,0.81,anomaly
u0005,03:41 AM,3,0.79,anomaly
u0447,16:53 PM,16,0.14,normal
u0183,09:29 AM,9,0.0,normal
u0159,05:57 AM,5,0.8,anomaly
u0420,00:32 AM,0,0.95,anomaly
u0405,12:34 PM,12,0.4,normal
u0247,08:26 AM,8,0.03,normal
u0489,15:55 PM,15,0.27,normal
u0242,00:43 AM,0,0.78,anomaly
u0296,05:25 AM,5,0.61,anomaly
u0420,14:21 PM,14,0.14,normal
u0007,05:48 AM,5,0.81,anomaly
u0158,23:35 PM,23,0.88,anomaly
u0021,02:28 AM,2,0.78,anomaly
u0292,23:16 PM,23,0.77,anomaly
u0366,14:07 PM,14,0.24,normal
u0007,02:32 AM,2,0.69,anomaly
u0402,16:19 PM,16,0.21,normal
u0270,00:59 AM,0,0.73,anomaly
u0302,07:35 AM,7,0.87,anomaly
u0418,22:19 PM,22,1.0,anomaly
u0468,07:59 AM,7,0.68,anomaly
u0209,04:32 AM,4,0.76,anomaly
u0191,15:03 PM,15,0.13,normal
u0216,03:04 AM,3,0.83,anomaly
u0466,03:48 AM,3,0.81,anomaly
u0217,14:26 PM,14,0.08,normal
u0306,04:36 AM,4,0.88,anomaly
u0003,20:50 PM,20,0.89,anomaly
u0297,16:00 PM,16,0.11,normal
u0460,09:11 AM,9,0.27,normal
u0201,22:02 PM,22,0.92,anomaly
u0299,06:58 AM,6,0.87,anomaly
u0188,09:39 AM,9,0.09,normal
u0155,08:32 AM,8,0.05,normal
u0226,11:00 AM,11,0.0,normal
u0035,22:05 PM,22,0.71,anomaly
u0329,11:02 AM,11,0.1,normal
u0295,14:27 PM,14,0.2,normal
u0089,03:45 AM,3,0.91,anomaly
u0309,05:26 AM,5,0.66,anomaly
u0037,00:31 AM,0,0.77,anomaly
u0257,10:58 AM,10,0.06,normal
u0373,11:59 AM,11,0.25,normal
u0233,18:38 PM,18,0.0,normal
u0142,18:39 PM,18,0.19,normal
u0406,01:12 AM,1,0.88,anomaly
u0213,23:38 PM,23,0.86,anomaly
u0336,19:06 PM,19,0.74,anomaly
u0137,16:01 PM,16,0.18,normal
u0494,05:03 AM,5,0.73,anomaly
u0261,21:31 PM,21,0.92,anomaly
u0158,08:18 AM,8,0.19,normal
u0281,11:06 AM,11,0.19,normal
u0236,04:21 AM,4,0.65,anomaly
u0409,04:31 AM,4,0.81,anomaly
u0220,13:55 PM,13,0.18,normal
u0221,17:32 PM,17,0.18,normal
u0056,19:44 PM,19,0.75,anomaly
u0043,16:48 PM,16,0.36,normal
u0225,17:24 PM,17,0.17,normal
u0221,19:35 PM,19,0.75,anomaly
u0408,20:17 PM,20,0.71,anomaly
u0016,12:06 PM,12,0.14,normal
u0396,06:07 AM,6,0.89,anomaly
u0209,04:25 AM,4,0.74,anomaly
u0323,07:34 AM,7,0.8,anomaly
u0161,09:51 AM,9,0.28,normal
u0284,06:43 AM,6,0.77,anomaly
u0181,07:04 AM,7,0.58,anomaly
u0201,16:17 PM,16,0.22,normal
u0137,00:13 AM,0,0.81,anomaly
u0101,15:15 PM,15,0.15,normal
u0413,05:27 AM,5,0.91,anomaly
u0393,01:43 AM,1,0.64,anomaly
u0397,15:31 PM,15,0.09,normal
u0452,00:24 AM,0,0.8,anomaly
u0168,13:14 PM,13,0.01,normal
u0250,10:42 AM,10,0.23,normal
u0274,09:00 AM,9,0.23,normal
u0462,21:48 PM,21,0.67,anomaly
u0291,23:22 PM,23,0.77,anomaly
u0290,18:45 PM,18,0.13,normal
u0202,11:45 AM,11,0.28,normal
u0151,02:22 AM,2,0.88,anomaly
u0184,16:16 PM,16,0.05,normal
u0424,09:32 AM,9,0.32,normal
u0295,22:28 PM,22,0.85,anomaly
u0490,16:39 PM,16,0.0,normal
u0464,19:46 PM,19,0.87,anomaly
u0237,18:48 PM,18,0.14,normal
u0227,07:45 AM,7,0.89,anomaly
u0225,21:04 PM,21,0.72,anomaly
u0405,15:19 PM,15,0.26,normal
u0446,02:12 AM,2,0.9,anomaly
u0461,05:36 AM,5,0.88,anomaly
u0317,05:15 AM,5,0.71,anomaly
u0313,15:25 PM,15,0.28,normal
u0445,21:15 PM,21,0.78,anomaly
u0378,04:34 AM,4,0.9,anomaly
u0141,09:08 AM,9,0.23,normal
u0443,15:51 PM,15,0.22,normal
u0039,14:56 PM,14,0.21,normal
u0121,06:41 AM,6,0.84,anomaly
u0474,08:29 AM,8,0.12,normal
u0463,21:34 PM,21,0.79,anomaly
u0051,11:55 AM,11,0.27,normal
u0280,17:43 PM,17,0.22,normal
u0231,21:12 PM,21,0.97,anomaly
u0236,07:50 AM,7,0.87,anomaly
u0439,08:30 AM,8,0.0,normal
u0184,03:34 AM,3,0.76,anomaly
u0216,10:50 AM,10,0.27,normal
u0042,02:30 AM,2,0.78,anomaly
u0471,07:42 AM,7,0.75,anomaly
u0387,14:13 PM,14,0.22,normal
u0415,13:34 PM,13,0.45,normal
u0010,18:33 PM,18,0.41,normal
u0352,17:36 PM,17,0.1,normal
u0473,10:00 AM,10,0.25,normal
u0037,14:58 PM,14,0.17,normal
u0101,07:35 AM,7,0.87,anomaly
u0276,11:27 AM,11,0.15,normal
u0234,23:11 PM,23,0.84,anomaly
u0355,05:44 AM,5,0.87,anomaly
u0099,22:28 PM,22,1.0,anomaly
u0434,20:39 PM,20,0.82,anomaly
u0163,10:33 AM,10,0.34,normal
u0099,05:38 AM,5,0.71,anomaly
u0144,01:34 AM,1,0.87,anomaly
u0204,02:20 AM,2,0.89,anomaly
u0001,16:03 PM,16,0.16,normal
u0029,11:06 AM,11,0.49,normal
u0344,20:35 PM,20,0.7,anomaly
u0253,17:50 PM,17,0.23,normal
u0476,06:15 AM,6,0.76,anomaly
u0357,21:33 PM,21,0.7,anomaly
u0244,19:13 PM,19,0.82,anomaly
u0298,10:18 AM,10,0.25,normal
u0350,08:51 AM,8,0.27,normal
u0390,11:20 AM,11,0.27,normal
u0008,06:45 AM,6,0.89,anomaly
u0242,16:16 PM,16,0.16,normal
u0188,21:30 PM,21,0.77,anomaly
u0414,00:40 AM,0,0.91,anomaly
u0375,04:52 AM,4,0.75,anomaly
u0188,01:42 AM,1,0.65,anomaly
u0139,06:26 AM,6,0.93,anomaly
u0368,16:22 PM,16,0.27,normal
u0123,15:19 PM,15,0.16,normal
u0144,10:33 AM,10,0.14,normal
u0216,10:05 AM,10,0.13,normal
u0258,01:20 AM,1,0.87,anomaly
u0328,23:02 PM,23,1.0,anomaly
u0383,06:22 AM,6,0.7,anomaly
u0245,17:26 PM,17,0.23,normal
u0106,08:25 AM,8,0.27,normal
u0134,12:34 PM,12,0.16,normal
u0419,18:20 PM,18,0.05,normal
u0245,15:20 PM,15,0.07,normal
u0198,02:04 AM,2,0.78,anomaly
u0009,03:46 AM,3,0.78,anomaly
u0129,10:35 AM,10,0.22,normal
u0345,00:02 AM,0,0.68,anomaly
u0185,08:11 AM,8,0.46,normal
u0372,13:23 PM,13,0.08,normal
u0011,01:38 AM,1,0.7,anomaly
u0201,11:37 AM,11,0.21,normal
u0207,14:58 PM,14,0.25,normal
u0493,07:39 AM,7,0.84,anomaly
u0280,07:28 AM,7,0.99,anomaly
u0396,04:51 AM,4,0.81,anomaly
u0469,16:55 PM,16,0.19,normal
u0301,13:30 PM,13,0.11,normal
u0084,07:15 AM,7,0.86,anomaly
u0172,01:02 AM,1,0.95,anomaly
u0133,10:58 AM,10,0.1,normal
u0214,10:39 AM,10,0.17,normal
u0008,17:11 PM,17,0.22,normal
u0166,23:10 PM,23,0.75,anomaly
u0057,06:48 AM,6,0.76,anomaly
u0332,11:58 AM,11,0.27,normal
u0262,18:29 PM,18,0.17,normal
u0425,10:33 AM,10,0.34,normal
u0064,04:15 AM,4,0.81,anomaly
u0120,08:12 AM,8,0.16,normal
u0500,20:20 PM,20,0.83,anomaly
u0197,01:34 AM,1,0.66,anomaly
u0399,14:37 PM,14,0.2,normal
u0046,04:12 AM,4,0.72,anomaly
u0057,10:16 AM,10,0.17,normal
u0238,04:33 AM,4,0.72,anomaly
u0029,22:25 PM,22,0.94,anomaly
u0316,16:22 PM,16,0.46,normal
u0099,13:16 PM,13,0.13,normal
u0273,04:48 AM,4,0.67,anomaly
u0469,12:08 PM,12,0.29,normal
u0082,22:20 PM,22,0.69,anomaly
u0360,15:47 PM,15,0.15,normal
u0301,20:04 PM,20,0.91,anomaly
u0364,19:35 PM,19,0.59,anomaly
u0449,06:58 AM,6,0.86,anomaly
u0053,11:51 AM,11,0.27,normal
u0296,11:05 AM,11,0.11,normal
u0475,03:08 AM,3,0.83,anomaly
u0420,20:59 PM,20,0.85,anomaly
